video,cond,texts_n,desc_mean_len,forbidden_rate,two_line_format_rate,hedging_per100w,frame_text_conflict_rate,fault_alignment_rate,reproducibility,length_variance,behavior_align_score_desc,ilc_coverage,bd_unique,odtr_offdomain
/app/data/raw/videos/validation_reencoded/bb_1_210206_vehicle_148_012.mp4,A1_g0.2,3,9.666666666666666,0.0,1.0,0.0,0.0,1.0,0.10317460317460317,3.5555555555555554,0.49561286966005963,0.0,0.0,0.34523809523809523
/app/data/raw/videos/validation_reencoded/bb_1_210202_vehicle_224_23649.mp4,A1_g0.2,3,9.0,0.0,1.0,0.0,0.0,1.0,0.18207282913165265,17.999999999999996,0.5852159261703491,0.0,0.0,0.2889469862018882
/app/data/raw/videos/validation_reencoded/bb_1_210126_vehicle_200_21653.mp4,A1_g0.2,3,10.333333333333334,0.0,1.0,0.0,0.0,1.0,0.1845238095238095,0.8888888888888888,0.5053403874238332,0.0,0.0,0.3595848595848596
/app/data/raw/videos/validation_reencoded/bb_1_201104_vehicle_244_21504.mp4,A1_g0.2,3,10.333333333333334,0.0,1.0,0.0,0.0,1.0,0.15079365079365079,0.8888888888888888,0.5218814810117086,0.0,0.0,0.40220922677063026
/app/data/raw/videos/validation_reencoded/bb_1_220801_vehicle_221_24841.mp4,A1_g0.3,3,10.333333333333334,0.0,1.0,0.0,0.0,1.0,0.15079365079365079,0.8888888888888888,0.5414024591445923,0.0,0.0,0.3491420859841912
/app/data/raw/videos/validation_reencoded/bb_1_220507_vehicle_243_24810.mp4,A1_g0.3,3,12.666666666666666,0.0,1.0,0.0,0.0,1.0,0.18333333333333332,1.5555555555555554,0.5565722187360128,0.0,0.0,0.3059147509578544
/app/data/raw/videos/validation_reencoded/bb_1_220414_vehicle_209_22339.mp4,A1_g0.3,3,11.0,0.6666666666666666,1.0,0.0,0.0,1.0,0.09817538126361657,4.666666666666668,0.564531147480011,0.0,0.0,0.2292768959435626
/app/data/raw/videos/validation_reencoded/bb_1_220407_vehicle_47_037.mp4,A1_g0.3,3,10.0,0.0,1.0,0.0,0.0,1.0,0.4497354497354497,0.6666666666666666,0.5344101190567017,0.0,0.0,0.24647284201036737
/app/data/raw/videos/validation_reencoded/bb_1_220313_vehicle_14_011.mp4,A1_g0.3,3,10.333333333333334,0.0,1.0,0.0,0.0,1.0,0.15079365079365079,0.8888888888888888,0.5664335886637369,0.0,0.0,0.4029595728451564
/app/data/raw/videos/validation_reencoded/bb_1_220219_vehicle_210_21470.mp4,A1_g0.3,3,11.0,0.0,1.0,0.0,0.0,1.0,0.4444444444444444,0.0,0.4998803337415059,0.0,0.0,0.3981856350277403
/app/data/raw/videos/validation_reencoded/bb_1_220218_vehicle_190_028.mp4,A1_g0.3,3,9.0,0.0,1.0,0.0,0.0,1.0,0.1955128205128205,0.6666666666666666,0.5752973854541779,0.0,0.0,0.22268009768009767
/app/data/raw/videos/validation_reencoded/bb_1_220105_vehicle_116_201.mp4,A1_g0.3,3,9.666666666666666,0.0,1.0,0.0,0.0,1.0,0.04074074074074074,0.8888888888888888,0.5536063810189565,0.0,0.0,0.3282569241694942
/app/data/raw/videos/validation_reencoded/bb_1_211231_vehicle_118_119.mp4,A1_g0.3,3,14.333333333333334,0.0,1.0,0.0,0.0,1.0,0.2233044733044733,11.555555555555555,0.4735012749830882,0.0,0.0,0.34878573749187786
/app/data/raw/videos/validation_reencoded/bb_1_211214_vehicle_089_021.mp4,A1_g0.3,3,10.666666666666666,0.3333333333333333,1.0,0.0,0.0,1.0,0.15079365079365079,0.2222222222222222,0.5177338918050131,0.0,0.0,0.3665952210843852
